,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
341,11 5th Ave # 15OP,New York,NY,10003,4999000.0,2200.0,3.0,3.0,43.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/11-5th-Ave-15OP-New-York-NY-10003/72513163_zpid/
342,28 E 10th St APT 2H,New York,NY,10003,2995000.0,1334.0,1.0,2.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/28-E-10th-St-APT-2H-New-York-NY-10003/97527588_zpid/
343,39 E 20th St FL 9,New York,NY,10003,3200000.0,2000.0,2.0,2.0,276.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/39-E-20th-St-FL-9-New-York-NY-10003/2093195793_zpid/
344,28 E 10th St APT 11D,NEW YORK,NY,10003,3575000.0,1093.0,2.0,2.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/28-E-10th-St-APT-11D-New-York-NY-10003/96756512_zpid/
345,70 E 10th St APT 14-S,New York,NY,10003,2695000.0,1500.0,2.0,2.0,67.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/70-E-10th-St-APT-14-S-New-York-NY-10003/244803012_zpid/
346,116 University Pl APT 4,New York,NY,10003,7475000.0,3056.0,4.0,4.0,219.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/116-University-Pl-APT-4-New-York-NY-10003/2093964973_zpid/
347,116 University Pl APT 2,New York,NY,10003,7200000.0,3056.0,4.0,4.0,219.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/116-University-Pl-APT-2-New-York-NY-10003/2093964971_zpid/
348,60 E 9th St APT 331,New York,NY,10003,469000.0,,0.0,1.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/60-E-9th-St-APT-331-New-York-NY-10003/244755455_zpid/
349,115 4th Ave APT 7J,NEW YORK,NY,10003,2650000.0,1200.0,2.0,2.0,67.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/115-4th-Ave-APT-7J-New-York-NY-10003/31498387_zpid/
350,70 E 10th St APT 14M,New York,NY,10003,2695000.0,,2.0,2.0,49.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/70-E-10th-St-APT-14M-New-York-NY-10003/244842611_zpid/
351,112 E 19th St APT 10F,New York,NY,10003,3100000.0,1912.0,3.0,2.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/112-E-19th-St-APT-10F-New-York-NY-10003/244714199_zpid/
352,112 E 19th St APT 10F,New York,NY,10003,3100000.0,1912.0,2.0,2.0,294.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/112-E-19th-St-APT-10F-New-York-NY-10003/2098955598_zpid/
353,21 E 12th St # 5D,New York,NY,10003,2550000.0,1006.0,1.0,2.0,359.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/21-E-12th-St-5D-New-York-NY-10003/2094216313_zpid/
354,16 E 17th St # 5FLR,New York,NY,10003,3250000.0,,2.0,3.0,252.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/16-E-17th-St-5FLR-New-York-NY-10003/2093744393_zpid/
355,215 E 19th St # 3E,New York,NY,10003,2095000.0,1208.0,1.0,2.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-E-19th-St-3E-New-York-NY-10003/2090184718_zpid/
